time,sim_t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg
2026-06-27T13:34:01.106411,1782577980.121449,121.60029602050781,-32.2609977722168,-120.49774932861328,-4.700065612792969,1.2467896938323975,0.0011330751003697515,-0.0008432956670581113,-0.8893546477993516,165.1417342027829
2026-06-27T13:34:01.214549,1782577980.2264512,121.10682678222656,-32.13002014160156,-120.49774932861328,-4.700065612792969,1.2468022108078003,0.0011331401765346527,-0.0006817078135194116,-0.8893375086750469,165.14178463355097
2026-06-27T13:34:01.324741,1782577980.3314533,120.61335754394531,-31.99904441833496,-120.49774932861328,-4.700065612792969,1.2468112707138062,0.0011332448339089751,-0.0005265182166563987,-0.8893160514097276,165.14193265102813
2026-06-27T13:34:01.432724,1782577980.4394557,120.10578918457031,-31.86439323425293,-120.49774932861328,-4.700065612792969,1.2468187808990479,0.0011332520516589284,-0.00039407369883012635,-0.8893025154827002,165.1421607333965
2026-06-27T13:34:01.541443,1782577980.544458,119.61231994628906,-31.733482360839844,-120.49774932861328,-4.700065612792969,1.2468229532241821,0.0011332948924973607,-0.0003219423162477556,-0.8892879665212734,165.14238666212555
2026-06-27T13:34:01.650194,1782577980.6524603,119.10475158691406,-31.598831176757812,-120.49774932861328,-4.700065612792969,1.246827244758606,0.0011333536822348833,-0.00028229401732964433,-0.8892749816643944,165.1425522900212
2026-06-27T13:34:01.759427,1782577980.7604625,118.59718322753906,-31.46417999267578,-120.49774932861328,-4.700065612792969,1.2468315362930298,0.0011333690490573645,-0.0002532963920294309,-0.8892750026916181,165.14263979088483
2026-06-27T13:34:01.867983,1782577980.865465,118.10371398925781,-31.333269119262695,-120.49774932861328,-4.700065612792969,1.246835708618164,0.001133400364778936,-0.00023662722051300916,-0.8892702254418896,165.14264947192999
2026-06-27T13:34:01.977120,1782577980.970467,117.61024475097656,-31.20235824584961,-120.49774932861328,-4.700065612792969,1.2468398809432983,0.0011334274895489216,-0.0002256133828463015,-0.8892633124362165,165.1425920897561
2026-06-27T13:34:02.085688,1782577981.0784693,117.10267639160156,-31.067707061767578,-120.49774932861328,-4.700065612792969,1.2468441724777222,0.0011334819719195366,-0.00020582258016625158,-0.8892466163505922,165.1424933739497
2026-06-27T13:34:02.194188,1782577981.1864717,116.59510803222656,-30.933055877685547,-120.49774932861328,-4.700065612792969,1.246847152709961,0.0011334961745887995,-0.00019377075249635544,-0.8892462648909587,165.14237020098756
